ACFT_ID,Profile_ID,Stage Length,Step Number,Step Type,Thrust Rating,Flap_ID,End Point Altitude (ft),Rate Of Climb (ft/min),End Point CAS (kt),Accel Percentage (%)
A320-232,DEFAULT,1,1,Takeoff,MaxTakeoff,1+F,,,,
A320-232,DEFAULT,1,2,Climb,MaxTakeoff,1+F,1000,,,
A320-232,DEFAULT,1,3,Accelerate,MaxTakeoff,1+F,,1219.6,185.5,
A320-232,DEFAULT,1,4,Accelerate,MaxTakeoff,1,,1372.6,208.6,
A320-232,DEFAULT,1,5,Climb,MaxClimb,ZERO,3000,,,
A320-232,DEFAULT,1,6,Accelerate,MaxClimb,ZERO,,1192.1,250,
A320-232,DEFAULT,1,7,Climb,MaxClimb,ZERO,5500,,,
A320-232,DEFAULT,1,8,Climb,MaxClimb,ZERO,7500,,,
A320-232,DEFAULT,1,9,Climb,MaxClimb,ZERO,10000,,,
A320-232,DEFAULT,2,1,Takeoff,MaxTakeoff,1+F,,,,
A320-232,DEFAULT,2,2,Climb,MaxTakeoff,1+F,1000,,,
A320-232,DEFAULT,2,3,Accelerate,MaxTakeoff,1+F,,1167.9,189.3,
A320-232,DEFAULT,2,4,Accelerate,MaxTakeoff,1,,1315.7,211,
A320-232,DEFAULT,2,5,Climb,MaxClimb,ZERO,3000,,,
A320-232,DEFAULT,2,6,Accelerate,MaxClimb,ZERO,,1137.4,250,
A320-232,DEFAULT,2,7,Climb,MaxClimb,ZERO,5500,,,
A320-232,DEFAULT,2,8,Climb,MaxClimb,ZERO,7500,,,
A320-232,DEFAULT,2,9,Climb,MaxClimb,ZERO,10000,,,
A320-232,DEFAULT,3,1,Takeoff,MaxTakeoff,1+F,,,,
A320-232,DEFAULT,3,2,Climb,MaxTakeoff,1+F,1000,,,
A320-232,DEFAULT,3,3,Accelerate,MaxTakeoff,1+F,,1118.6,193.2,
A320-232,DEFAULT,3,4,Accelerate,MaxTakeoff,1,,1260.6,213.6,
A320-232,DEFAULT,3,5,Climb,MaxClimb,ZERO,3000,,,
A320-232,DEFAULT,3,6,Accelerate,MaxClimb,ZERO,,1085.2,250,
A320-232,DEFAULT,3,7,Climb,MaxClimb,ZERO,5500,,,
A320-232,DEFAULT,3,8,Climb,MaxClimb,ZERO,7500,,,
A320-232,DEFAULT,3,9,Climb,MaxClimb,ZERO,10000,,,
A320-232,DEFAULT,4,1,Takeoff,MaxTakeoff,1+F,,,,
A320-232,DEFAULT,4,2,Climb,MaxTakeoff,1+F,1000,,,
A320-232,DEFAULT,4,3,Accelerate,MaxTakeoff,1+F,,1040.6,199.9,
A320-232,DEFAULT,4,4,Accelerate,MaxTakeoff,1,,1170.7,218.4,
A320-232,DEFAULT,4,5,Climb,MaxClimb,ZERO,3000,,,
A320-232,DEFAULT,4,6,Accelerate,MaxClimb,ZERO,,1001.5,250,
A320-232,DEFAULT,4,7,Climb,MaxClimb,ZERO,5500,,,
A320-232,DEFAULT,4,8,Climb,MaxClimb,ZERO,7500,,,
A320-232,DEFAULT,4,9,Climb,MaxClimb,ZERO,10000,,,
A320-232,DEFAULT,5,1,Takeoff,MaxTakeoff,1+F,,,,
A320-232,DEFAULT,5,2,Climb,MaxTakeoff,1+F,1000,,,
A320-232,DEFAULT,5,3,Accelerate,MaxTakeoff,1+F,,921.9,210.9,
A320-232,DEFAULT,5,4,Accelerate,MaxTakeoff,1,,1033.9,226.5,
A320-232,DEFAULT,5,5,Climb,MaxClimb,ZERO,3000,,,
A320-232,DEFAULT,5,6,Accelerate,MaxClimb,ZERO,,876.3,250,
A320-232,DEFAULT,5,7,Climb,MaxClimb,ZERO,5500,,,
A320-232,DEFAULT,5,8,Climb,MaxClimb,ZERO,7500,,,
A320-232,DEFAULT,5,9,Climb,MaxClimb,ZERO,10000,,,
