NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
V2527A,LAmax,A,2000,89.3,82.8,78.2,73.4,65.8,57.4,51.2,44.4,36.7,28.6
V2527A,LAmax,A,2700,89.5,83,78.3,73.5,65.8,57.4,51.3,44.4,36.7,28.6
V2527A,LAmax,A,6000,91.6,84.7,79.5,74.2,66.5,58,51.9,45,37.2,29.1
V2527A,LAmax,D,10000,94.8,86.3,80.5,74.8,66.5,57.6,51.1,44,36.2,28.2
V2527A,LAmax,D,14000,96.7,88.6,83.5,78.4,70.5,61.7,55.3,48.1,40.1,31.8
V2527A,LAmax,D,19000,101.2,93.9,89,84,76.1,67.3,61.1,54.1,46.3,38.2
V2527A,LAmax,D,23000,104,96.9,92.2,87.3,79.4,70.8,64.7,57.9,50.3,42
V2527A,SEL,A,2000,93.1,89.1,86.1,82.9,77.7,71.7,67.1,61.9,55.8,49.2
V2527A,SEL,A,2700,93.3,89.2,86.2,83,77.7,71.8,67.2,62,55.8,49.3
V2527A,SEL,A,6000,94.7,90.5,87.4,83.9,78.5,72.3,67.7,62.5,56.3,49.7
V2527A,SEL,D,10000,95,90.2,86.8,83.5,78.1,71.8,67.2,61.9,55.9,49.4
V2527A,SEL,D,14000,98.3,93.9,90.9,87.6,82.1,75.8,71.1,65.6,59.4,52.8
V2527A,SEL,D,19000,102.5,98.4,95.5,92.3,87.2,81.1,76.7,71.5,65.7,59.4
V2527A,SEL,D,23000,104.6,100.7,98,95,90,84.3,80,75.1,69.5,63.3
