NPD_ID,Noise Metric,Op Mode,Power Setting,L_200ft,L_400ft,L_630ft,L_1000ft,L_2000ft,L_4000ft,L_6300ft,L_10000ft,L_16000ft,L_25000ft
GENX67,LAmax,A,7000.0,99.0,91.8,87.0,82.2,74.4,65.9,59.6,52.8,45.9,39.4
GENX67,LAmax,A,12000.0,99.6,92.4,87.6,82.8,75.0,66.5,60.2,53.3,46.4,39.9
GENX67,LAmax,A,17000.0,100.0,92.8,88.0,83.2,75.3,66.7,60.4,53.5,46.5,40.0
GENX67,LAmax,A,22000.0,100.4,93.2,88.3,83.4,75.4,66.8,60.4,53.5,46.5,39.9
GENX67,LAmax,D,17000.0,101.0,94.3,89.7,84.9,77.2,68.7,62.5,55.5,48.4,41.5
GENX67,LAmax,D,25000.0,101.5,94.8,90.2,85.3,77.5,68.8,62.6,55.6,48.4,41.6
GENX67,LAmax,D,33000.0,102.9,96.2,91.5,86.6,78.7,70.0,63.7,56.6,49.5,42.6
GENX67,LAmax,D,41000.0,104.8,98.0,93.4,88.5,80.5,71.7,65.4,58.3,51.0,44.1
GENX67,LAmax,D,49000.0,107.0,100.2,95.5,90.6,82.6,73.8,67.4,60.2,53.0,46.0
GENX67,LAmax,D,57000.0,110.1,103.4,98.7,93.8,85.8,76.9,70.5,63.2,55.9,49.0
GENX67,SEL,A,7000.0,101.0,96.8,93.9,90.9,85.7,79.7,75.1,70.0,64.9,60.1
GENX67,SEL,A,12000.0,101.6,97.4,94.5,91.4,86.2,80.2,75.6,70.5,65.3,60.4
GENX67,SEL,A,17000.0,102.3,98.0,95.0,91.9,86.6,80.6,75.9,70.7,65.4,60.5
GENX67,SEL,A,22000.0,102.8,98.5,95.5,92.3,86.9,80.8,76.1,70.8,65.4,60.4
GENX67,SEL,D,17000.0,102.0,98.1,95.3,92.4,87.4,81.7,77.3,72.1,66.9,61.8
GENX67,SEL,D,25000.0,102.6,98.6,95.8,92.8,87.6,81.7,77.3,72.1,66.9,61.8
GENX67,SEL,D,33000.0,103.9,99.9,97.1,94.0,88.8,82.8,78.4,73.2,68.0,62.9
GENX67,SEL,D,41000.0,105.5,101.6,98.8,95.7,90.5,84.5,80.1,74.9,69.7,64.7
GENX67,SEL,D,49000.0,107.4,103.5,100.7,97.7,92.5,86.6,82.2,77.0,71.8,66.8
GENX67,SEL,D,57000.0,110.1,106.3,103.5,100.6,95.5,89.7,85.3,80.2,75.1,70.2
